t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-5,4.5,1.2,0.70681,-0,0,-0.7074,0,0,0,0,0,0,0,0,0,0,0,0,0.10124,4.0666,4.0697,0.09806,0,0,0,-0.3443,-8255.7,14252
0.01,-5,4.5,1.2,0.70663,0.012897,0.012874,-0.70735,-1.3561e-06,-0.0012944,0.0021554,0.0075131,6.576,9.2443e-05,-0.00053106,-0.3804,0.62536,0,0,0,1.2048,3.2312,3.2222,1.2149,-0.15478,-72.947,116.72,-29.492,-6376,9237.1
0.02,-5,4.5,1.2001,0.70524,0.041169,0.041016,-0.70659,-2.0341e-05,-0.0097374,0.0156,0.024988,8.7583,0.00098987,-0.0039562,-1.4004,2.1815,0,0,0,2.4404,2.6866,2.6765,2.4557,-0.56778,-128.34,187.56,-52.024,-4741.5,5066.6
0.03,-5,4.4998,1.2004,0.70255,0.071939,0.071504,-0.70437,-9.7714e-05,-0.030888,0.047487,0.045583,8.3988,0.00316,-0.01253,-2.8965,4.2508,0,0,0,3.2506,2.8447,2.8373,3.2673,-1.174,-168.54,220.66,-68.163,-3336.3,1678.2
0.04,-5,4.4993,1.2011,0.69904,0.099921,0.099041,-0.7011,-0.00029357,-0.068784,0.10119,0.066459,7.4097,0.0063335,-0.027869,-4.728,6.4939,0,0,0,3.828,3.3792,3.3747,3.8446,-1.9105,-195.77,223.52,-78.128,-2144.3,-990.62
0.05,-5,4.4983,1.2025,0.69519,0.12455,0.12304,-0.69718,-0.00068105,-0.12617,0.17704,0.087719,6.5682,0.010143,-0.050972,-6.7756,8.6434,0,0,0,4.3304,4.0161,4.0135,4.3467,-2.7167,-212.09,203.03,-82.142,-1149.5,-3002.3
0.06,-5,4.4967,1.2047,0.6912,0.14677,0.14441,-0.69271,-0.0013403,-0.20468,0.27306,0.11078,6.0447,0.014378,-0.08224,-8.9397,10.498,0,0,0,4.7923,4.6289,4.6275,4.8088,-3.5342,-219.37,165.46,-80.426,-336.08,-4419.4
0.07,-5,4.4942,1.208,0.68711,0.16772,0.16421,-0.68759,-0.0023526,-0.30507,0.38553,0.13782,5.8197,0.018932,-0.12151,-11.139,11.914,0,0,0,5.2009,5.1658,5.1647,5.2179,-4.3068,-219.36,116.42,-73.199,312.11,-5304.2
0.08,-5.0001,4.4905,1.2125,0.68291,0.18839,0.18333,-0.68157,-0.0037947,-0.42736,0.50959,0.17217,5.8383,0.023705,-0.16805,-13.308,12.805,0,0,0,5.5375,5.6051,5.6037,5.5554,-4.9806,-213.62,60.937,-60.685,811,-5719.3
0.09,-5.0001,4.4855,1.2182,0.67862,0.20962,0.20237,-0.67422,-0.0057337,-0.57096,0.63973,0.21971,6.0487,0.028518,-0.22061,-15.397,13.126,0,0,0,5.7916,5.9401,5.9374,5.8104,-5.5036,-203.58,3.3916,-43.102,1176.6,-5727.1
0.1,-5.0002,4.479,1.2253,0.67454,0.23218,0.22163,-0.6648,-0.0082213,-0.7349,0.77021,0.29299,6.4052,0.033015,-0.27745,-17.369,12.878,0,0,0,5.9634,6.1727,6.1673,5.9829,-5.8265,-190.48,-52.456,-20.674,1424.8,-5390.1
0.11,-5.0003,4.4708,1.2336,0.67179,0.25707,0.24077,-0.65165,-0.01129,-0.91787,0.8955,0.42636,6.8599,0.036545,-0.33632,-19.2,12.093,0,0,0,6.0629,6.3113,6.3005,6.083,-5.9017,-175.42,-103.47,6.3805,1571.7,-4770.7
0.12,-5.0004,4.4606,1.2431,0.67565,0.28704,0.25707,-0.6285,-0.014945,-1.1184,1.0105,0.76266,7.3426,0.038011,-0.39451,-20.874,10.833,0,0,0,6.1074,6.37,6.3471,6.13,-5.6842,-159.33,-147.14,37.839,1633.3,-3931.3
0.13,-5.0006,4.4484,1.2538,0.76096,0.35694,0.22181,-0.4943,-0.019167,-1.3348,1.1109,3.412,7.091,0.035704,-0.44888,-22.386,9.1815,0,0,0,6.1031,6.3824,6.2879,6.1808,-5.131,-142.99,-181.57,73.481,1625.5,-2934.6
0.14,-5.0008,4.4339,1.2653,0.68213,0.3438,-0.30034,0.57122,-0.023899,-1.5656,1.1931,1.2261,-8.1565,0.027173,-0.49587,-23.735,7.237,0,0,0,6.2724,6.1696,6.1159,6.2831,-4.2014,-127,-205.51,113.08,1564.3,-1842.8
0.15,-5.0011,4.417,1.2775,0.6408,0.35619,-0.34126,0.58825,-0.029047,-1.809,1.255,0.52379,-8.4085,0.0092187,-0.53153,-24.929,5.1085,0,0,0,6.1941,6.1947,6.1332,6.1745,-2.8568,-111.83,-218.32,156.43,1465.7,-718.5
0.16,-5.0014,4.3976,1.2903,0.61696,0.37715,-0.37146,0.58236,-0.034477,-2.0636,1.2951,0.33806,-8.3097,-0.02188,-0.55151,-25.976,2.9079,0,0,0,6.1028,6.2568,6.1652,6.0619,-1.061,-97.759,-219.98,203.29,1345.7,375.88
0.17,-5.0017,4.3757,1.3034,0.59612,0.39841,-0.39833,0.57205,-0.040009,-2.3281,1.3133,0.26553,-7.8721,-0.069874,-0.55113,-26.888,0.74405,0,0,0,6.026,6.3498,6.2162,5.9638,1.2201,-84.931,-211.11,253.46,1220.3,1377.9
0.18,-5.0022,4.3511,1.3165,0.57648,0.41776,-0.42232,0.56107,-0.045415,-2.601,1.3104,0.2445,-7.1082,-0.1379,-0.52538,-27.678,-1.2833,0,0,0,5.9819,6.4625,6.2784,5.898,4.0184,-73.318,-192.94,306.7,1105.4,2225
0.19,-5.0027,4.3236,1.3295,0.5579,0.43394,-0.44325,0.55134,-0.050414,-2.8813,1.2883,0.25964,-6.082,-0.22791,-0.46894,-28.358,-3.0898,0,0,0,5.9792,6.5801,6.3404,5.8745,7.3632,-62.741,-167.3,362.64,1014.3,2866.9
0.2,-5.0032,4.2934,1.3422,0.54045,0.4461,-0.46113,0.54431,-0.054673,-3.1678,1.2496,0.30867,-4.8866,-0.34037,-0.37622,-28.936,-4.6114,0,0,0,6.0131,6.6921,6.3953,5.8902,11.276,-52.949,-136.27,420.14,947.92,3307.2
0.21,-5.0037,4.2603,1.3545,0.52388,0.45354,-0.47634,0.54125,-0.057799,-3.4597,1.1972,0.39597,-3.6133,-0.47421,-0.24149,-29.419,-5.8037,0,0,0,6.0713,6.7917,6.4389,5.9351,15.767,-43.71,-101.77,477.86,903.4,3565.4
0.22,-5.0043,4.2242,1.3661,0.50733,0.45534,-0.48976,0.54352,-0.059343,-3.7559,1.1347,0.53293,-2.339,-0.62701,-0.058975,-29.811,-6.6409,0,0,0,6.1401,6.8749,6.4687,5.9982,20.83,-34.817,-65.508,534.48,878.08,3660.7
0.23,-5.0049,4.1851,1.3771,0.48864,0.44985,-0.50308,0.55296,-0.0588,-4.0556,1.0656,0.74249,-1.1284,-0.79532,0.17696,-30.115,-7.1131,0,0,0,6.2077,6.9397,6.4819,6.0715,26.448,-26.093,-29.03,588.64,869.25,3612.5
0.24,-5.0055,4.1431,1.3874,0.46281,0.43324,-0.51953,0.57288,-0.055608,-4.3579,0.99362,1.0717,-0.052669,-0.97492,0.47173,-30.333,-7.2252,0,0,0,6.2661,6.9858,6.4745,6.1529,32.59,-17.386,6.3278,639.01,874.19,3440
