t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-5,4.5,1.2,0.70776,-0,0,-0.70646,0,0,0,0,0,0,0,0,0,0,0,0,0.096577,4.0712,4.0644,0.10342,0,0,0,0.91259,-8254.2,9887.3
0.01,-5,4.5,1.2,0.70778,0.013143,0.013193,-0.70619,2.9521e-06,-0.0012983,0.0015177,-0.016276,6.8479,-0.00020429,0.0011514,-0.38192,0.44265,0,0,0,1.0371,3.3232,3.3428,1.0148,0.33376,-73.396,83.546,63.033,-6461.5,6896
0.02,-5,4.4999,1.2001,0.70724,0.043421,0.043761,-0.70428,4.377e-05,-0.0097957,0.011159,-0.054768,9.7459,-0.0023002,0.0084719,-1.4118,1.5785,0,0,0,2.1876,2.6944,2.7173,2.1521,1.207,-129.94,139.36,109.06,-4882,4335.6
0.03,-5,4.4998,1.2003,0.70478,0.078017,0.078984,-0.70069,0.0002085,-0.031164,0.03454,-0.10018,9.7565,-0.0076483,0.026577,-2.9315,3.1513,0,0,0,3.0325,2.6255,2.6418,2.9928,2.4663,-171.71,171.6,140.5,-3503.6,2179.2
0.04,-5,4.4993,1.2008,0.70078,0.10986,0.1118,-0.69595,0.00062192,-0.069596,0.074917,-0.1439,8.6227,-0.015595,0.058622,-4.8031,4.9451,0,0,0,3.622,2.9865,2.9949,3.5836,3.9733,-200.64,184.2,158.85,-2314.1,399.9
0.05,-5,4.4983,1.2018,0.69593,0.13698,0.14023,-0.69084,0.0014337,-0.128,0.13358,-0.18382,7.3632,-0.024875,0.10646,-6.9077,6.7818,0,0,0,4.1112,3.5421,3.5446,4.0761,5.6048,-218.58,180.77,165.63,-1301.3,-1029.2
0.06,-5,4.4966,1.2035,0.69065,0.15972,0.16465,-0.68585,0.0028061,-0.20819,0.21022,-0.22109,6.3381,-0.034617,0.17077,-9.1437,8.5183,0,0,0,4.5748,4.146,4.1448,4.5426,7.2523,-227.22,164.69,162.33,-453.13,-2135.1
0.07,-4.9999,4.4941,1.2061,0.68504,0.17907,0.18607,-0.6812,0.0049031,-0.31103,0.30324,-0.25787,5.6045,-0.044409,0.25124,-11.426,10.044,0,0,0,5.0233,4.7282,4.725,4.9933,8.8228,-228.15,139.06,150.47,242.6,-2944.7
0.08,-4.9999,4.4903,1.2096,0.67904,0.19598,0.20553,-0.67695,0.007881,-0.43664,0.41011,-0.29669,5.124,-0.054098,0.34671,-13.686,11.277,0,0,0,5.4439,5.2563,5.2523,5.4152,10.238,-222.83,106.69,131.54,798.05,-3484.9
0.09,-4.9998,4.4853,1.2143,0.67247,0.21117,0.22387,-0.67311,0.011881,-0.58448,0.52762,-0.34036,4.8416,-0.06363,0.45528,-15.867,12.164,0,0,0,5.8206,5.7149,5.7109,5.7925,11.435,-212.61,70.166,107.05,1225.4,-3782.6
0.1,-4.9996,4.4786,1.2202,0.66507,0.22516,0.24176,-0.66973,0.017022,-0.75356,0.65213,-0.39244,4.7089,-0.072953,0.57452,-17.926,12.674,0,0,0,6.1414,6.0966,6.0932,6.1135,12.366,-198.71,31.76,78.51,1536.7,-3864.9
0.11,-4.9994,4.4701,1.2274,0.65647,0.23823,0.25979,-0.66694,0.023397,-0.94249,0.77982,-0.45796,4.6866,-0.081968,0.70159,-19.832,12.8,0,0,0,6.4,6.3993,6.3973,6.372,12.997,-182.23,-6.5032,47.422,1744.2,-3758.6
0.12,-4.9991,4.4597,1.2358,0.64612,0.25041,0.27849,-0.66503,0.03107,-1.1496,0.90687,-0.54496,4.7417,-0.090498,0.83339,-21.565,12.55,0,0,0,6.5955,6.6248,6.6248,6.5676,13.311,-164.13,-42.872,15.291,1860.1,-3490.6
0.13,-4.9988,4.4471,1.2455,0.63307,0.26139,0.29848,-0.66468,0.04007,-1.3732,1.0297,-0.66784,4.8432,-0.098273,0.96673,-23.113,11.953,0,0,0,6.7319,6.778,6.7807,6.7044,13.304,-145.29,-75.866,-16.378,1896.4,-3087.9
0.14,-4.9983,4.4322,1.2564,0.61541,0.27018,0.32074,-0.66738,0.050399,-1.6112,1.1449,-0.85593,4.9565,-0.10492,1.0984,-24.471,11.048,0,0,0,6.8165,6.8662,6.8723,6.7902,12.99,-126.43,-104.27,-46.08,1865.4,-2577.4
0.15,-4.9978,4.4148,1.2684,0.58842,0.27396,0.34731,-0.67682,0.062024,-1.862,1.2498,-1.18,5.0297,-0.11,1.2256,-25.643,9.8864,0,0,0,6.8593,6.8989,6.9084,6.8357,12.394,-108.17,-127.14,-72.31,1779.1,-1986.1
0.16,-4.9971,4.3949,1.2813,0.53599,0.26294,0.38424,-0.70422,0.074886,-2.1235,1.342,-1.86,4.9276,-0.11305,1.3455,-26.638,8.5262,0,0,0,6.8707,6.8875,6.8984,6.8534,11.56,-90.991,-143.81,-93.563,1649.9,-1340.8
0.17,-4.9963,4.3723,1.2952,0.36429,0.18032,0.45434,-0.79268,0.088903,-2.3942,1.4199,-3.803,3.6899,-0.11371,1.4562,-27.468,7.0322,0,0,0,6.854,6.8517,6.8494,6.8584,10.544,-75.273,-153.87,-108.33,1489.7,-668.59
0.18,-4.9953,4.347,1.3097,0.22703,0.16222,-0.48524,0.82867,0.10397,-2.6724,1.4824,-4.2382,-3.064,-0.11187,1.5561,-28.149,5.4713,0,0,0,6.769,6.8538,6.8084,6.8246,9.4199,-61.26,-157.18,-115.12,1310.8,3.7181
0.19,-4.9942,4.3188,1.3248,0.43401,0.29954,-0.44153,0.72593,0.11999,-2.9567,1.5293,-1.9681,-4.6314,-0.10799,1.6445,-28.699,3.9106,0,0,0,6.6807,6.8483,6.8041,6.7405,8.2737,-49.08,-153.89,-112.41,1125.2,649.15
0.2,-4.9929,4.2878,1.3402,0.47813,0.34435,-0.43395,0.68154,0.13683,-3.246,1.5608,-1.1833,-4.5368,-0.10327,1.7218,-29.137,2.4143,0,0,0,6.5979,6.8427,6.7956,6.6602,7.2084,-38.737,-144.38,-98.699,945.31,1240.8
0.21,-4.9915,4.2539,1.3559,0.49043,0.36949,-0.43713,0.65717,0.15439,-3.5391,1.578,-0.80792,-4.1163,-0.09995,1.7893,-29.48,1.0415,0,0,0,6.5243,6.8449,6.7869,6.5876,6.3414,-30.115,-129.34,-72.49,783.09,1751.7
0.22,-4.9898,4.217,1.3717,0.49188,0.38604,-0.44379,0.64193,0.17259,-3.8353,1.5822,-0.57451,-3.5171,-0.10142,1.8497,-29.744,-0.15714,0,0,0,6.4667,6.8553,6.7766,6.5274,5.8053,-22.975,-109.71,-32.273,650.75,2154.9
