t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-5,4.5,1.2,0.81001,-0,0,-0.58642,0,0,0,0,0,0,0,0,0,0,0,0,1.8684,2.2994,2.299,1.8688,0,0,0,278.86,-851.19,169.47
0.01,-5,4.5,1.2,0.81001,0.0013038,0.0018034,-0.58642,4.5783e-05,-0.00013919,2.7729e-05,-0.0012718,0.87826,-1.5849e-06,0.013666,-0.041491,0.0082676,0,0,0,1.888,2.2834,2.2849,1.8864,2.7056,-8.1922,1.6331,262.33,-787.59,157.21
0.02,-5,4.5,1.2,0.8104,0.0050666,0.0070212,-0.58581,0.00036077,-0.0010924,0.00021776,-0.0042344,1.6821,-2.4682e-05,0.053568,-0.16176,0.03226,0,0,0,1.9124,2.2699,2.2727,1.9093,5.2481,-15.758,3.1455,246.26,-725.96,145.33
0.03,-5,4.5,1.2,0.81064,0.01105,0.015347,-0.58524,0.0011992,-0.0036164,0.00072137,-0.0094688,2.4055,-0.00012117,0.1181,-0.35464,0.070788,0,0,0,1.9422,2.259,2.263,1.9376,7.6322,-22.718,4.541,230.64,-666.29,133.82
0.04,-5,4.4999,1.2,0.81072,0.018998,0.026447,-0.58453,0.0027997,-0.0084072,0.0016781,-0.016693,3.0423,-0.00036987,0.2057,-0.61416,0.1227,0,0,0,1.9782,2.2514,2.2564,1.9719,9.8624,-29.091,5.8232,215.46,-608.54,122.68
0.05,-4.9999,4.4998,1.2,0.81053,0.028636,0.03996,-0.58363,0.0053851,-0.016102,0.0032163,-0.025801,3.5865,-0.00086818,0.31485,-0.93455,0.18689,0,0,0,2.021,2.248,2.2537,2.013,11.943,-34.895,6.9958,200.73,-552.69,111.9
0.06,-4.9999,4.4996,1.2001,0.80999,0.03967,0.055498,-0.58246,0.0091636,-0.027283,0.0054532,-0.036645,4.0328,-0.0017223,0.44408,-1.3102,0.26227,0,0,0,2.0713,2.25,2.2561,2.0616,13.878,-40.15,8.0625,186.44,-498.71,101.48
0.07,-4.9997,4.4992,1.2002,0.80901,0.051793,0.07265,-0.58098,0.014329,-0.042473,0.0084955,-0.049042,4.3775,-0.0030363,0.59195,-1.7358,0.34779,0,0,0,2.1293,2.2588,2.2649,2.1178,15.673,-44.875,9.0266,172.57,-446.59,91.411
0.08,-4.9996,4.4987,1.2003,0.80753,0.06469,0.090992,-0.57916,0.02106,-0.062147,0.01244,-0.06277,4.62,-0.0049017,0.75709,-2.206,0.44247,0,0,0,2.195,2.2759,2.2818,2.1817,17.331,-49.088,9.8919,159.14,-396.29,81.69
0.09,-4.9993,4.498,1.2004,0.80554,0.07805,0.11011,-0.57697,0.029524,-0.086726,0.017372,-0.077588,4.7632,-0.0073884,0.93814,-2.7159,0.54531,0,0,0,2.2679,2.3028,2.3081,2.253,18.857,-52.807,10.662,146.12,-347.79,72.312
