t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-5,4.5,1.2,0.80915,-0,0,-0.5876,0,0,0,0,0,0,0,0,0,0,0,0,1.9325,1.9322,2.2353,2.2356,0,0,0,275.13,-848.23,139.2
0.01,-5,4.5,1.2,0.80915,0.0013009,0.0017938,-0.5876,4.5176e-05,-0.00013871,2.2805e-05,-0.001296,0.87466,-1.6081e-06,0.013485,-0.041348,0.006802,0,0,0,1.9449,1.9461,2.2258,2.2247,2.6701,-8.164,1.3447,258.97,-784.89,129.79
0.02,-5,4.5,1.2,0.80955,0.0050573,0.0069873,-0.58698,0.00035604,-0.0010886,0.00017931,-0.0043163,1.6767,-2.5062e-05,0.052872,-0.1612,0.026585,0,0,0,1.9614,1.9636,2.2182,2.2162,5.1809,-15.704,2.5967,243.25,-723.52,120.65
0.03,-5,4.5,1.2,0.80981,0.011037,0.015284,-0.58639,0.0011837,-0.0036039,0.00059473,-0.0096571,2.4011,-0.00012319,0.11659,-0.35342,0.058435,0,0,0,1.9821,1.9856,2.2132,2.2103,7.5367,-22.641,3.7586,227.98,-664.09,111.77
0.04,-5,4.4999,1.2,0.80989,0.018993,0.026363,-0.58568,0.0027638,-0.0083785,0.0013853,-0.017038,3.0423,-0.00037666,0.2031,-0.61207,0.10146,0,0,0,2.008,2.0127,2.2112,2.2078,9.7419,-28.993,4.833,213.13,-606.58,103.17
0.05,-4.9999,4.4998,1.2,0.80972,0.028658,0.039878,-0.58476,0.0053168,-0.016048,0.0026584,-0.026358,3.5942,-0.00088594,0.31094,-0.93139,0.15481,0,0,0,2.0398,2.0459,2.2132,2.2094,11.801,-34.779,5.8228,198.72,-550.96,94.823
0.06,-4.9999,4.4996,1.2001,0.80919,0.03975,0.055454,-0.58358,0.0090487,-0.02719,0.0045132,-0.037477,4.0512,-0.0017616,0.43864,-1.3058,0.21765,0,0,0,2.0784,2.086,2.2201,2.2162,13.718,-40.018,6.7304,184.72,-497.2,86.738
0.07,-4.9997,4.4992,1.2001,0.80821,0.051966,0.072691,-0.58208,0.014151,-0.04233,0.0070403,-0.050212,4.4089,-0.0031134,0.58483,-1.73,0.28916,0,0,0,2.1244,2.1336,2.2332,2.2295,15.497,-44.729,7.5584,171.15,-445.29,78.907
0.08,-4.9996,4.4987,1.2002,0.80673,0.064995,0.091174,-0.58022,0.020802,-0.061938,0.010323,-0.064343,4.6654,-0.0050394,0.74813,-2.1987,0.36856,0,0,0,2.1781,2.1889,2.2538,2.2506,17.142,-48.93,8.3094,157.99,-395.2,71.33
0.09,-4.9993,4.498,1.2003,0.80471,0.078527,0.11048,-0.57799,0.029167,-0.086436,0.014435,-0.079624,4.8226,-0.0076161,0.92724,-2.707,0.45509,0,0,0,2.2395,2.2518,2.2831,2.2807,18.658,-52.639,8.9858,145.24,-346.9,64.001
0.1,-4.999,4.497,1.2005,0.80216,0.092264,0.13022,-0.57539,0.039396,-0.11619,0.019446,-0.095791,4.8859,-0.010892,1.1209,-3.2499,0.54803,0,0,0,2.3084,2.3222,2.3224,2.3209,20.048,-55.874,9.5902,132.89,-300.36,56.919
0.11,-4.9985,4.4956,1.2007,0.7991,0.10593,0.15001,-0.57246,0.051628,-0.15153,0.025415,-0.11259,4.8645,-0.014885,1.3278,-3.8229,0.64667,0,0,0,2.3844,2.3996,2.3722,2.3718,21.317,-58.652,10.125,120.93,-255.58,50.079
0.12,-4.9979,4.4939,1.201,0.79561,0.1193,0.16952,-0.56925,0.065992,-0.19274,0.032396,-0.12977,4.7706,-0.019584,1.5468,-4.4215,0.75031,0,0,0,2.4671,2.4835,2.4329,2.4336,22.468,-60.991,10.593,109.37,-212.51,43.479
0.13,-4.9972,4.4918,1.2014,0.79174,0.13216,0.18851,-0.56581,0.082601,-0.24003,0.040436,-0.14714,4.6177,-0.024954,1.7768,-5.0413,0.8583,0,0,0,2.5559,2.5734,2.5044,2.5063,23.506,-62.908,10.995,98.197,-171.14,37.115
0.14,-4.9963,4.4891,1.2018,0.7876,0.14438,0.20675,-0.56222,0.10156,-0.29362,0.049574,-0.16452,4.4198,-0.030941,2.0166,-5.6783,0.97001,0,0,0,2.6506,2.6688,2.5862,2.5892,24.433,-64.419,11.336,87.403,-131.43,30.985
0.15,-4.9952,4.4859,1.2024,0.78327,0.15583,0.2241,-0.55855,0.12296,-0.35364,0.059846,-0.1818,4.1904,-0.037484,2.2651,-6.3284,1.0848,0,0,0,2.7504,2.7694,2.6774,2.6815,25.255,-65.542,11.616,76.986,-93.377,25.084
0.16,-4.9938,4.482,1.203,0.77883,0.16647,0.24048,-0.55487,0.14689,-0.42022,0.071279,-0.19889,3.9413,-0.044519,2.5213,-6.9879,1.2021,0,0,0,2.855,2.8745,2.777,2.7821,25.974,-66.292,11.838,66.939,-56.943,19.41
0.17,-4.9922,4.4774,1.2038,0.77436,0.17624,0.25583,-0.55123,0.17341,-0.49342,0.083895,-0.21575,3.6825,-0.051984,2.7842,-7.6531,1.3214,0,0,0,2.9638,2.9838,2.8837,2.8898,26.595,-66.686,12.005,57.258,-22.106,13.959
0.18,-4.9903,4.4721,1.2047,0.76993,0.18515,0.27015,-0.54768,0.20259,-0.57329,0.097712,-0.23236,3.4218,-0.059827,3.0529,-8.3205,1.4421,0,0,0,3.0763,3.0966,2.9964,3.0033,27.121,-66.74,12.118,47.937,11.159,8.7284
0.19,-4.9882,4.466,1.2058,0.76557,0.1932,0.28345,-0.54426,0.23448,-0.65983,0.11274,-0.24874,3.1652,-0.068001,3.3264,-8.9868,1.5636,0,0,0,3.1917,3.2123,3.1137,3.1215,27.555,-66.468,12.18,38.97,42.875,3.7148
0.2,-4.9856,4.4589,1.207,0.76134,0.20043,0.29578,-0.54102,0.26913,-0.75301,0.12898,-0.26491,2.917,-0.076474,3.6037,-9.6488,1.6855,0,0,0,3.3095,3.3303,3.2346,3.243,27.901,-65.887,12.193,30.354,73.068,-1.0852
0.21,-4.9828,4.4509,1.2083,0.75726,0.20686,0.3072,-0.53796,0.30657,-0.85278,0.14645,-0.28092,2.6799,-0.08522,3.8841,-10.304,1.8073,0,0,0,3.4288,3.45,3.3578,3.3669,28.163,-65.012,12.159,22.082,101.76,-5.6746
0.22,-4.9795,4.4418,1.2099,0.75335,0.21253,0.31774,-0.5351,0.34682,-0.95905,0.16513,-0.29681,2.4556,-0.094225,4.1667,-10.948,1.9285,0,0,0,3.5491,3.5705,3.4824,3.492,28.344,-63.857,12.08,14.149,128.98,-10.057
0.23,-4.9758,4.4317,1.2117,0.74961,0.21749,0.32749,-0.53247,0.38991,-1.0717,0.18502,-0.31265,2.2449,-0.10348,4.4507,-11.58,2.0487,0,0,0,3.6696,3.6913,3.6073,3.6175,28.447,-62.437,11.959,6.5502,154.75,-14.235
0.24,-4.9717,4.4204,1.2136,0.74606,0.22178,0.33651,-0.53006,0.43584,-1.1906,0.2061,-0.32847,2.0479,-0.113,4.7354,-12.196,2.1676,0,0,0,3.7895,3.8115,3.7317,3.7424,28.476,-60.767,11.796,-0.72021,179.09,-18.212
0.25,-4.9671,4.4078,1.2158,0.7427,0.22543,0.34485,-0.52788,0.48461,-1.3156,0.22836,-0.34435,1.8643,-0.12278,5.02,-12.794,2.2845,0,0,0,3.9083,3.9307,3.8547,3.866,28.434,-58.86,11.595,-7.6672,202.04,-21.992
0.26,-4.962,4.394,1.2182,0.73952,0.22849,0.35257,-0.52593,0.53623,-1.4464,0.25178,-0.36033,1.6935,-0.13283,5.3038,-13.372,2.3993,0,0,0,4.0251,4.048,3.9757,3.9876,28.324,-56.73,11.357,-14.296,223.6,-25.578
